major_id,major_type,course_type,required_credits,track,applies_from_year,applies_to_year
19,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
19,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
19,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
19,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
19,,GENERAL,32,INTENSIVE_SOLO,2023,2024
20,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
20,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
20,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
20,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
20,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
20,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
20,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
20,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
20,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
20,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
20,,GENERAL,32,INTENSIVE_SOLO,2023,2024
21,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
21,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
21,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
21,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
21,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
21,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
21,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
21,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
21,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
21,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
21,,GENERAL,32,INTENSIVE_SOLO,2023,2024
22,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
22,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
22,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
22,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
22,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
22,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
22,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
22,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
22,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
22,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
22,,GENERAL,32,INTENSIVE_SOLO,2023,2024
23,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
23,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
23,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
23,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
23,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
23,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
23,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
23,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
23,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
23,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
23,,GENERAL,32,INTENSIVE_SOLO,2023,2024
24,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
24,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
24,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
24,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
24,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
24,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
24,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
24,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
24,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
24,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
24,,GENERAL,32,INTENSIVE_SOLO,2023,2024
25,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
25,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
25,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
25,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
25,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
25,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
25,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
25,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
25,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
25,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
25,,GENERAL,32,INTENSIVE_SOLO,2023,2024
26,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
26,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
26,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
26,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
26,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
26,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
26,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
26,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
26,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
26,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
26,,GENERAL,32,INTENSIVE_SOLO,2023,2024
27,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
27,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
27,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
27,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
27,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
27,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
27,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
27,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
27,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
27,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
27,,GENERAL,32,INTENSIVE_SOLO,2023,2024
28,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
28,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
28,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
28,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
28,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
28,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
28,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
28,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
28,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
28,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
28,,GENERAL,32,INTENSIVE_SOLO,2023,2024
29,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
29,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
29,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
29,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
29,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
29,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
29,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
29,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
29,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
29,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
29,,GENERAL,32,INTENSIVE_SOLO,2023,2024
30,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
30,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
30,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
30,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
30,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
30,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
30,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
30,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
30,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
30,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
30,,GENERAL,32,INTENSIVE_SOLO,2023,2024
31,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
31,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
31,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
31,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
31,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
31,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
31,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
31,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
31,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
31,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
31,,GENERAL,32,INTENSIVE_SOLO,2023,2024
32,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
32,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
32,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
32,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
32,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
32,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
32,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
32,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
32,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
32,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
32,,GENERAL,32,INTENSIVE_SOLO,2023,2024
45,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
45,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
45,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
45,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
45,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
45,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
45,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
45,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
